X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745472.29999924	5205943.60000610	1844.27001953	352.000000	877.000000	544.000000	2208.000000	4197.000000	68	81	53
745470.43000031	5205941.96000671	1846.68994141	263.000000	673.000000	327.000000	1484.000000	2827.000000	37	59	37
745472.59000015	5205941.83000183	1844.14001465	797.000000	1679.000000	1439.000000	3425.000000	5195.000000	196	166	131
745471.25000000	5205941.39999390	1846.45996094	501.000000	1375.000000	676.000000	3242.000000	5295.000000	87	134	79
745470.51000023	5205941.88999939	1846.41003418	300.000000	682.000000	400.000000	1622.000000	3221.000000	47	60	44
745471.12000084	5205940.78999329	1843.98999023	572.000000	1547.000000	853.000000	3870.000000	6361.000000	112	152	92
745472.43000031	5205941.25999451	1843.92004395	768.000000	1500.000000	1332.000000	3250.000000	4929.000000	180	147	126
745472.87999916	5205942.07000732	1843.93994141	927.000000	1487.000000	1495.000000	3365.000000	4977.000000	204	146	154
745471.95999908	5205943.69999695	1844.93005371	310.000000	858.000000	451.000000	2015.000000	3670.000000	55	79	46
745471.56999969	5205941.57000732	1844.33996582	547.000000	1363.000000	783.000000	3399.000000	5467.000000	102	132	87
745470.92000008	5205941.63999939	1845.01000977	542.000000	1362.000000	780.000000	3181.000000	5217.000000	102	132	86
745471.36000061	5205943.52999878	1846.51000977	384.000000	850.000000	502.000000	2071.000000	3878.000000	62	78	59
745471.26000023	5205941.41999817	1845.53002930	606.000000	1506.000000	856.000000	3400.000000	5323.000000	112	148	98
745470.20999908	5205941.52000427	1844.18005371	902.000000	1554.000000	1692.000000	3192.000000	4811.000000	232	153	150
745470.55999947	5205941.72999573	1846.55004883	246.000000	496.000000	333.000000	1150.000000	2420.000000	38	41	34
745470.76000023	5205941.97999573	1844.77001953	532.000000	1229.000000	840.000000	2873.000000	4574.000000	110	118	85
745471.64999962	5205941.55000305	1844.78002930	772.000000	1553.000000	1048.000000	3342.000000	5117.000000	140	153	127
745472.01000023	5205943.55000305	1844.96997070	240.000000	818.000000	374.000000	1927.000000	3570.000000	44	75	33
745470.69000053	5205940.50000000	1844.13000488	547.000000	1554.000000	734.000000	3644.000000	6161.000000	95	153	87
745470.47999954	5205942.21000671	1846.32995605	320.000000	770.000000	414.000000	1926.000000	3624.000000	49	70	47
745470.88999939	5205941.88999939	1844.43005371	557.000000	1186.000000	820.000000	2770.000000	4392.000000	107	114	89
745471.29999924	5205941.36999512	1846.51000977	497.000000	1374.000000	667.000000	3232.000000	5299.000000	86	134	79
745470.71999931	5205941.77999878	1845.79003906	648.000000	1251.000000	830.000000	2780.000000	4735.000000	109	121	105
745471.26000023	5205941.41999817	1845.53002930	606.000000	1506.000000	856.000000	3400.000000	5323.000000	112	148	98
745471.20999908	5205941.66000366	1844.56994629	796.000000	1351.000000	1453.000000	2894.000000	4653.000000	198	131	131
745471.47999954	5205943.60000610	1845.80004883	341.000000	888.000000	467.000000	1852.000000	3274.000000	57	82	51
