X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745527.95000076	5205917.59999847	1828.64001465	753.000000	2198.000000	1021.000000	4908.000000	8057.000000	136	221	123
745527.55999947	5205917.31999969	1828.44995117	619.000000	2080.000000	776.000000	4994.000000	9194.000000	101	209	100
745527.92000008	5205917.47000122	1828.25000000	845.000000	2108.000000	1084.000000	4749.000000	8289.000000	145	211	140
745526.67000008	5205918.45999908	1828.68005371	502.000000	1693.000000	618.000000	3885.000000	6707.000000	79	167	79
745528.60000038	5205917.91999817	1827.68994141	766.000000	1777.000000	1275.000000	3991.000000	6699.000000	172	176	126
745528.45000076	5205918.11000061	1827.81994629	632.000000	2033.000000	1034.000000	4522.000000	7963.000000	138	204	102
745527.95000076	5205917.59999847	1828.64001465	753.000000	2198.000000	1021.000000	4908.000000	8057.000000	136	221	123
745528.00000000	5205917.26999664	1828.06005859	806.000000	2192.000000	1053.000000	5196.000000	8262.000000	141	220	133
745526.50000000	5205918.33000183	1828.94995117	456.000000	1566.000000	574.000000	4038.000000	6708.000000	72	154	71
745528.29000092	5205917.38999939	1827.84997559	624.000000	2176.000000	879.000000	4825.000000	7722.000000	116	219	101
745526.52000046	5205918.65000153	1828.69995117	486.000000	1731.000000	618.000000	4239.000000	7156.000000	79	172	77
745526.98999977	5205916.90000153	1829.34997559	862.000000	2302.000000	938.000000	5299.000000	8433.000000	124	232	143
745526.97999954	5205916.86000061	1828.52001953	459.000000	1610.000000	560.000000	4335.000000	8282.000000	70	159	72
745527.03000069	5205918.84999847	1828.50000000	291.000000	1213.000000	354.000000	2780.000000	4724.000000	41	117	42
745528.40999985	5205917.98000336	1829.28002930	1152.000000	1886.000000	1503.000000	3153.000000	4783.000000	205	188	194
745526.92000008	5205916.95999908	1829.79003906	784.000000	1988.000000	940.000000	4494.000000	7362.000000	124	199	129
745526.94000053	5205916.86000061	1828.80004883	566.000000	1894.000000	721.000000	4479.000000	7678.000000	93	189	91
745528.10000038	5205917.22000122	1828.00000000	726.000000	2138.000000	950.000000	5150.000000	7905.000000	126	215	119
745528.37999916	5205917.58999634	1827.81994629	513.000000	1797.000000	711.000000	4456.000000	7339.000000	92	179	81
745526.57999992	5205918.23000336	1828.98999023	475.000000	1579.000000	640.000000	3683.000000	6359.000000	82	155	75
